,pers_name,event_after-date,event_before-date,event_start,event_end,display_date,event_type,pers_function,inst_name,place_name,place_count,country,# Full Address,Latitude,Longitude,comment,source,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28
40,Adolph Hund von Saulheim,#,#,1610,#,1610,Aufschwörung,Domherr,Domkapitel Mainz,Mainz,66.0,Germany,Dom Mainz Germany,"49,9990056297492","8,273938609815461",#,"Wendehorst, Bistümer der Kirchenprovinz Mainz, S. 225",,,,,,,,,,,,
41,Adolph Hund von Saulheim,#,#,22.06.1638,#,1638,Wahl,Domdekan,Domkapitel Mainz,Mainz,66.0,Germany,Dom Mainz Germany,"49,9990056297492","8,273938609815461",#,"Wendehorst, Bistümer der Kirchenprovinz Mainz, S.225",,,,,,,,,,,,
42,Adolph Hund von Saulheim,#,#,10.12.1652,#,1652,Resignation,Domdekan,Domkapitel Mainz,Mainz,66.0,Germany,Dom Mainz Germany,"49,9990056297492","8,273938609815461",#,#,,,,,,,,,,,,
43,Adolph Hund von Saulheim,#,#,10.12.1652,#,1652,Wahl,Domprobst,Domkapitel Mainz,Mainz,66.0,Germany,Dom Mainz Germany,"49,9990056297492","8,273938609815461",#,"Wendehorst, Bistümer der Kirchenprovinz Mainz, S.225",,,,,,,,,,,,
44,Adolph Hund von Saulheim,#,#,22.06.1638,#,1638,Resignation,Domscholaster,Domkapitel Mainz,Mainz,66.0,Germany,Dom Mainz Germany,"49,9990056297492","8,273938609815461",#,#,,,,,,,,,,,,
137,Adolph Hund von Saulheim,#,#,1613,#,1613,Aufschwörung,Domherr,Domkapitel Würzburg,Würzburg,15.0,Germany,Dom Würzburg Germany,"49,7933488","9,9325575",#,"Wendehorst, Bistümer der Kirchenprovinz Mainz, S. 225; Hersche, S. 193",,,,,,,,,,,,
138,Adolph Hund von Saulheim,#,#,1615,#,1615,Resignation,Domherr,Domkapitel Würzburg,Würzburg,15.0,Germany,Dom Würzburg Germany,"49,7933488","9,9325575",#,"Wendehorst, Bistümer der Kirchenprovinz Mainz, S. 225",,,,,,,,,,,,
139,Adolph Hund von Saulheim,#,#,1623,#,1623,Resignation,Domherr,Domkapitel Würzburg,Würzburg,15.0,Germany,Dom Würzburg Germany,"49,7933488","9,9325575",#,"Wendehorst, Bistümer der Kirchenprovinz Mainz, S.225",,,,,,,,,,,,
165,Adolph Hund von Saulheim,#,#,04.04.1609,#,1609,Tonsur,Tonsur,#,#,22.0,Germany,Germany,"51,165691","10,451526",#,"Wendehorst, Bistümer der Kirchenprovinz Mainz, S. 225",,,,,,,,,,,,
166,Adolph Hund von Saulheim,#,#,04.04.1609,#,1609,Weihe,niedere Weihen,#,#,22.0,Germany,Germany,"51,165691","10,451526",#,"Wendehorst, Bistümer der Kirchenprovinz Mainz, S. 225",,,,,,,,,,,,
167,Adolph Hund von Saulheim,#,#,04.04.1609,#,1609,Aufschwörung,Stiftsherr,Stift St. Burkhard,Würzburg,22.0,Germany,Germany,"51,165691","10,451526",#,"Wendehorst, Bistümer der Kirchenprovinz Mainz, S. 225",,,,,,,,,,,,
193,Adolph Hund von Saulheim,#,#,06.10.1615,#,1615,Immatrikulation,Student,"Universität Ingolstadt, Juristische Fakultät",Ingolstadt,1.0,Germany,Juristische Fakultät Ingolstadt Germany,"48,7667395","11,4226498",Studium der Rechte,"Wendehorst, Bistümer der Kirchenprovinz Mainz, S. 225",,,,,,,,,,,,
198,Adolph Hund von Saulheim,#,#,29.04.1613,#,1613,Immatrikulation,Student,Universität Köln,Köln,5.0,Germany,Köln Germany,"50,937531","6,9602786",#,"Wendehorst, Bistümer der Kirchenprovinz Mainz, S. 225",,,,,,,,,,,,
221,Adolph Hund von Saulheim,#,#,04.11.1618,#,1618,Beurlaubung zum studium voluntarium,#,#,Mainz,12.0,Germany,Mainz Germany,"49,9928617","8,2472526",#,"Wendehorst, Bistümer der Kirchenprovinz Mainz, S. 225",,,,,,,,,,,,
222,Adolph Hund von Saulheim,#,#,30.12.1634,#,1634,Wahl,Domscholaster,Domkapitel Mainz,Köln,12.0,Germany,Mainz Germany,"49,9928617","8,2472526","Wahl in Köln, weil Domkapitel wegen schwedischer Besetzung von Mainz im Exil","Wendehorst, Bistümer der Kirchenprovinz Mainz, S. 225",,,,,,,,,,,,
223,Adolph Hund von Saulheim,,,29.04.1668,,1668,Tod,,,Mainz,12.0,Germany,Mainz Germany,"49,9928617","8,2472526",#,"Wendehorst, Bistümer der Kirchenprovinz Mainz, S. 225",,,,,,,,,,,,
233,Adolph Hund von Saulheim,#,#,,#,1668,Beisetzung,#,,Mainz,1.0,Germany,Marienkapelle des Domes Mainz Germany,"49,99771596594513","8,275730325428226",#,"Wendehorst, Bistümer der Kirchenprovinz Mainz, S. 225",,,,,,,,,,,,
256,Adolph Hund von Saulheim,#,#,um 1595,#,1595,Geburt,#,#,Speyer,1.0,Germany,Speyer Germany,"49,3172765","8,4412172",#,"Thesaurus Personarum, Pfälzische Personengeschichte",,,,,,,,,,,,
257,Adolph Hund von Saulheim,#,#,#,#,#,Aufschwörung,Stiftsherr,Stift Mariengreden,Mainz,3.0,Germany,Stift Mariengreden Mainz Germany,"49,99928007","8,275409983",#,"Wendehorst, Bistümer der Kirchenprovinz Mainz, S. 225",,,,,,,,,,,,
261,Adolph Hund von Saulheim,#,#,#,#,#,Aufschwörung,Stiftsherr,Stift St. Alban,Mainz,7.0,Germany,Stift St. Alban Mainz Germany,"49,99","8,28",#,"Wendehorst, Bistümer der Kirchenprovinz Mainz, S. 225",,,,,,,,,,,,
270,Adolph Hund von Saulheim,#,#,19.02.1639,#,1619,Resignation,Stiftsherr,Stift St. Burkhard,Würzburg,3.0,Germany,Stift St. Burkhard Würzburg Germany,"49,790067076707544","9,924947011480644",#,"Wendehorst, Bistümer der Kirchenprovinz Mainz, S. 225",,,,,,,,,,,,
271,Adolph Hund von Saulheim,#,#,16.01.1624,#,1624,Wahl,Dekan,Stift St. Burkhard,Würzburg,3.0,Germany,Stift St. Burkhard Würzburg Germany,"49,790067076707544","9,924947011480644",#,"Wendehorst, Bistümer der Kirchenprovinz Mainz, S. 225",,,,,,,,,,,,
272,Adolph Hund von Saulheim,#,#,19.08.1639,#,1639,Resignation,Dekan,Stift St. Burkhard,Würzburg,3.0,Germany,Stift St. Burkhard Würzburg Germany,"49,790067076707544","9,924947011480644",#,"Wendehorst, Bistümer der Kirchenprovinz Mainz, S. 225",,,,,,,,,,,,
275,Adolph Hund von Saulheim,#,#,#,#,#,Wahl,Probst,Stift St. German,Speyer,1.0,Germany,Stift St. German Speyer Germany,"49,3172765","8,4412172",#,"Wendehorst, Bistümer der Kirchenprovinz Mainz, S. 225",,,,,,,,,,,,
282,Adolph Hund von Saulheim,#,#,#,#,#,Aufschwörung,Stiftsherr,Stift St. Viktor,Mainz,2.0,Germany,Stift St. Viktor Mainz Germany,"49,981969943629636","8,29649529311655",#,"Wendehorst, Bistümer der Kirchenprovinz Mainz, S. 225",,,,,,,,,,,,
299,Adolph Hund von Saulheim,#,#,1621,#,1621,Aufschwörung,Domherr,Domkapitel Würzburg,Würzburg,3.0,Germany,Würzburg Germany,"49,7913044","9,9533548",#,"Wendehorst, Bistümer der Kirchenprovinz Mainz, S. 225",,,,,,,,,,,,
