,pers_name,event_after-date,event_before-date,event_start,event_end,display_date,event_type,pers_function,inst_name,place_name,place_count,country,# Full Address,Latitude,Longitude,comment,source,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28
45,Christoph Rudolf von Stadion,#,#,24.09.1657,#,1657,Aufschwörung,Domherr,Domkapitel Mainz,Mainz,66.0,Germany,Dom Mainz Germany,"49,9990056297492","8,273938609815461",#,"Rauch, Domkapitel Mainz, S. 168; Wikipedia, Christoph",,,,,,,,,,,,
46,Christoph Rudolf von Stadion,#,#,08.03.1685,#,1685,Wahl,Domdekan,Domkapitel Mainz,Mainz,66.0,Germany,Dom Mainz Germany,"49,9990056297492","8,273938609815461",#,"Rauch, Domkapitel Mainz, S. 168",,,,,,,,,,,,
47,Christoph Rudolf von Stadion,#,#,10.01.1695,#,1695,Resignation,Domdekan,Domkapitel Mainz,Mainz,66.0,Germany,Dom Mainz Germany,"49,9990056297492","8,273938609815461",#,"Rauch, Domkapitel Mainz, S. 175; Wurzbach, Stadion, S. 26",,,,,,,,,,,,
48,Christoph Rudolf von Stadion,#,#,10.01.1695,#,1695,Wahl,Domprobst,Domkapitel Mainz,Mainz,66.0,Germany,Dom Mainz Germany,"49,9990056297492","8,273938609815461","Bei Rauch: Pröpste, Propstei und Stift von Sankt Bartholomäus in Frankfurt, S. 186 steht 1696; sonst überall 1695","Rauch, Domkapitel Mainz, S. 175; Wurzbach, Stadion, S. 26",,,,,,,,,,,,
49,Christoph Rudolf von Stadion,#,#,17.01.1700,#,1700,Tod,#,,Mainz,66.0,Germany,Dom Mainz Germany,"49,9990056297492","8,273938609815461",#,"Rauch, Domkapitel Mainz, S. 175; Wikipedia, Christoph",,,,,,,,,,,,
50,Christoph Rudolf von Stadion,17.01.1700,#,#,#,1700,Beisetzung,#,,Mainz,66.0,Germany,Dom Mainz Germany,"49,9990056297492","8,273938609815461",#,"Arens, Mainzer Inschriften, S. 45f.",,,,,,,,,,,,
51,Christoph Rudolf von Stadion,#,#,13.11.1669,#,1669,Ernennung,Generalvikar,Erzbistum Mainz,Mainz,66.0,Germany,Dom Mainz Germany,"49,9990056297492","8,273938609815461",#,"Wurzbach, Stadion, S. 26; Wikipedia, Christoph",,,,,,,,,,,,
52,Christoph Rudolf von Stadion,#,#,1678,#,1678,Amtsniederlegung,Generalvikar,Erzbistum Mainz,Mainz,66.0,Germany,Dom Mainz Germany,"49,9990056297492","8,273938609815461",#,"Wurzbach, Stadion, S. 26",,,,,,,,,,,,
157,Christoph Rudolf von Stadion,#,#,#,#,#,Ernennung,Statthalter zu Erfurt,Erzstift Mainz,Erfurt,5.0,Germany,Erfurt Germany,"50,9847679","11,0298799",#,"Wurzbach, Stadion, S. 26",,,,,,,,,,,,
158,Christoph Rudolf von Stadion,#,#,1699,#,1699,Ernennung,Rector magnificus,#,Erfurt,5.0,Germany,Erfurt Germany,"50,9847679","11,0298799",#,"Wurzbach, Stadion, S. 26; Universität Erfurt, Rektoren",,,,,,,,,,,,
168,Christoph Rudolf von Stadion,#,#,30.12.1638,#,1638,Geburt,#,#,#,22.0,Germany,Germany,"51,165691","10,451526",#,"Rauch, Domkapitel Mainz, S. 168",,,,,,,,,,,,
169,Christoph Rudolf von Stadion,#,1664,#,#,1664,Studium,Student,#,#,22.0,Germany,Germany,"51,165691","10,451526",#,"Wikipedia, Christoph",,,,,,,,,,,,
170,Christoph Rudolf von Stadion,#,1664,#,#,1664,Weihe,Niedere Weihen,#,#,22.0,Germany,Germany,"51,165691","10,451526",#,"Wikipedia, Christoph",,,,,,,,,,,,
171,Christoph Rudolf von Stadion,#,1669,#,#,1669,Weihe,Priester,#,#,22.0,Germany,Germany,"51,165691","10,451526",#,"Wikipedia, Christoph",,,,,,,,,,,,
194,Christoph Rudolf von Stadion,1679,#,#,#,1679,Gesandtschaft,Gesandter,Erzstift Mainz,Wien,2.0,Austria,Kaiserhof Wien Austria,"48,1975454","16,3686303",#,"Wikipedia, Christoph",,,,,,,,,,,,
205,Christoph Rudolf von Stadion,#,#,#,#,#,Ernennung,Geheimrat,Erzstift Mainz,Mainz,14.0,Germany,Kurfürstliches Schloss Mainz Germany,"50,0069542","8,2698184",#,"Wurzbach, Stadion, S. 26",,,,,,,,,,,,
206,Christoph Rudolf von Stadion,1679,#,#,#,1679,Ernennung,Hofratspräsident,Erzstift Mainz,Mainz,14.0,Germany,Kurfürstliches Schloss Mainz Germany,"50,0069542","8,2698184",#,"Wurzbach, Stadion, S. 26",,,,,,,,,,,,
258,Christoph Rudolf von Stadion,1665,1674,#,#,#,Aufschwörung,Stiftsherr,Stift Mariengreden,Mainz,3.0,Germany,Stift Mariengreden Mainz Germany,"49,99928007","8,275409983",#,"Rauch, Sankt Bartholomäus, S. 177, FN 958, Dörr, Mariengreden, S. 85",,,,,,,,,,,,
262,Christoph Rudolf von Stadion,#,#,#,#,#,Aufschwörung,Stiftsherr,Stift St. Alban,Mainz,7.0,Germany,Stift St. Alban Mainz Germany,"49,99","8,28",#,"Rauch, Sankt Bartholomäus, S. 177, FN 958",,,,,,,,,,,,
263,Christoph Rudolf von Stadion,#,#,,#,1675,Wahl,Probst,Stift St. Alban,Mainz,7.0,Germany,Stift St. Alban Mainz Germany,"49,99","8,28","Angabe bei Wurzbach falsch, richitg Joannis, S.791","Wurzbach, Stadion, S. 26",,,,,,,,,,,,
269,Christoph Rudolf von Stadion,#,#,02.08.1674,#,1674,Wahl,Probst,Stift St. Bartholomäus,Frankfurt,1.0,Germany,Stift St. Bartholomäus zu Frankfurt Frankfurt Germany,"50,0945254","8,4934583","Angabe bei Wurzbach falsch, richitg Joannis, S.791","Rauch, Domkapitel Mainz, S. 175; Wurzbach, Stadion, S. 26, Rauch, Sankt Bartholomäus, S. 329",,,,,,,,,,,,
273,Christoph Rudolf von Stadion,#,#,#,#,#,Aufschwörung,Stiftsherr,Stift St. Ferrutius,Bleidenstadt,2.0,Germany,Stift St. Ferrutius Bleidenstadt Germany,"50,139647","8,13748",#,"Joannis, S. 791",,,,,,,,,,,,
