,pers_name,event_after-date,event_before-date,event_start,event_end,display_date,event_type,pers_function,inst_name,place_name,place_count,country,# Full Address,Latitude,Longitude,comment,source,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28
12,Dietrich Kaspar von Fürstenberg,#,#,1643,1644,1643,Kommando über eine Kompanie Kürassiere,#,#,Böhmen,1.0,Europe,Bohemia Europe,"49,817492","15,472962",#,"Lahrkamp et al., Geschichte, S. 97",,,,,,,,,,,,
14,Dietrich Kaspar von Fürstenberg,#,#,1647,#,1647,Flucht nach Brüssel,#,#,Brüssel,2.0,Belgium,Brüssel Belgium,"50,8476424","4,3571696",#,"Lahrkamp et al., Geschichte, S. 98",,,,,,,,,,,,
15,Dietrich Kaspar von Fürstenberg,#,#,#,1650,#,Aufenthalt,#,#,Brüssel,2.0,Belgium,Brüssel Belgium,"50,8476424","4,3571696",#,"Lahrkamp et al., Geschichte, S. 99",,,,,,,,,,,,
57,Dietrich Kaspar von Fürstenberg,#,#,17.09.1624,#,1624,Aufschwörung,Domherr,Domkapitel Mainz,Mainz,66.0,Germany,Dom Mainz Germany,"49,9990056297492","8,273938609815461",#,"Lahrkamp et al., Geschichte, S. 96",,,,,,,,,,,,
58,Dietrich Kaspar von Fürstenberg,#,#,05.04.1673,#,1673,Wahl,Domprobst,Domkapitel Mainz,Mainz,66.0,Germany,Dom Mainz Germany,"49,9990056297492","8,273938609815461",#,"Hersche, Einleitung, S. 128; Rauch, Domkapitel Mainz, S. 174; Lahrkamp et al., Geschichte, S. 103",,,,,,,,,,,,
113,Dietrich Kaspar von Fürstenberg,#,#,1672,#,1672,Resignation,Domherr,Domkapitel Speyer,Speyer,6.0,Germany,Dom Speyer Germany,"49,3172765","8,4412172",Einfache Resignation,"Hersche, Einleitung, S. 128",,,,,,,,,,,,
114,Dietrich Kaspar von Fürstenberg,#,#,1636,#,1636,Aufschwörung,Domherr,Domkapitel Speyer,Speyer,6.0,Germany,Dom Speyer Germany,"49,3172765","8,4412172",#,"Lahrkamp et al., Geschichte, S. 96",,,,,,,,,,,,
152,Dietrich Kaspar von Fürstenberg,#,#,1648,#,1648,Flucht nach Douai,#,#,Douai,1.0,France,Douai France,"50,367874","3,080602",#,"Lahrkamp et al., Geschichte, S. 98",,,,,,,,,,,,
162,Dietrich Kaspar von Fürstenberg,#,#,00.12.1641,00.10.1643,1641,Aufenthalt,#,#,Florenz,1.0,Italy,Florenz Italy,"43,7695604","11,2558136",#,"Lahrkamp et al., Geschichte, S. 97",,,,,,,,,,,,
199,Dietrich Kaspar von Fürstenberg,#,#,1631,#,1631,Studium,Student,Universität Köln,Köln,5.0,Germany,Köln Germany,"50,937531","6,9602786",#,"Lahrkamp et al., Geschichte, S. 96",,,,,,,,,,,,
200,Dietrich Kaspar von Fürstenberg,#,#,15.10.1640,#,1640,Aufbruch nach Rom,#,#,Köln,5.0,Germany,Köln Germany,"50,937531","6,9602786",#,"Lahrkamp et al., Geschichte, S. 97",,,,,,,,,,,,
204,Dietrich Kaspar von Fürstenberg,#,#,06.03.1615,#,1615,Geburt,#,#,Königstein,1.0,Germany,Königstein Germany,"50,17874","8,47191",#,"Rauch, Domkapitel Mainz, S. 174; Lahrkamp et al., Geschichte, S. 96",,,,,,,,,,,,
208,Dietrich Kaspar von Fürstenberg,#,#,1675,#,1675,Niederlage bei der Wahl zum Kurfürsten,#,#,Mainz,14.0,Germany,Kurfürstliches Schloss Mainz Germany,"50,0069542","8,2698184",#,"Lahrkamp et al., Geschichte, S. 105",,,,,,,,,,,,
219,Dietrich Kaspar von Fürstenberg,#,#,19.08.1648,#,1648,Niederlage in der Schlacht bei Lens,Obrist eines spanischen Reiterregiments,#,Lens,1.0,France,Lens France,"50,42893","2,83183",#,"Lahrkamp et al., Geschichte, S. 98",,,,,,,,,,,,
225,Dietrich Kaspar von Fürstenberg,#,#,21.09.1675,#,1675,Tod,#,#,Mainz,12.0,Germany,Mainz Germany,"49,9928617","8,2472526",#,"Hersche, Einleitung, S. 128; Rauch, Domkapitel Mainz, S. 174; Lahrkamp et al., Geschichte, S. 106",,,,,,,,,,,,
