,pers_name,event_after-date,event_before-date,event_start,event_end,display_date,event_type,pers_function,inst_name,place_name,place_count,country,# Full Address,Latitude,Longitude,comment,source,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28
5,Heinrich Ferdinand von der Leyen,#,#,15.12.1689,24.01.1690,1689,Gesandtschaft,Gesandter,Erzbistum Trier,Augsburg,1.0,Germany,Augsburg Germany,"48,3705449","10,89779",zum Wahltag,"Braun, Domkapitel, S. 350; Wikipedia, Heinrich Ferdinand",,,,,,,,,,,,
26,Heinrich Ferdinand von der Leyen,#,#,02.06.1656,#,1656,Aufschwörung,Domherr,Domkapitel Eichstätt,Eichstätt,9.0,Germany,Dom Eichstätt Germany,"48,8919581","11,1835667",#,"Hersche, Einleitung, S. 90",,,,,,,,,,,,
27,Heinrich Ferdinand von der Leyen,#,#,1705,#,1705,Resignation und Ablehnung der Wahl zum Fürstbischof,Bischof,,Eichstätt,9.0,Germany,Dom Eichstätt Germany,"48,8919581","11,1835667",#,"Pauly, Bistümer, S. 313; Hersche, Einleitung, S. 90; Wikipedia, Heinrich Ferdinand",,,,,,,,,,,,
59,Heinrich Ferdinand von der Leyen,#,#,02.12.1664,#,1664,Aufschwörung,Domherr,Domkapitel Mainz,Mainz,66.0,Germany,Dom Mainz Germany,"49,9990056297492","8,273938609815461",#,"Rauch, Mainzer, S. 175; Braun, Domkapitel, S. 350",,,,,,,,,,,,
60,Heinrich Ferdinand von der Leyen,#,#,16.02.1700,#,1700,Wahl,Domprobst,Domkapitel Mainz,Mainz,66.0,Germany,Dom Mainz Germany,"49,9990056297492","8,273938609815461",#,"Rauch, Mainzer, S. 176",,,,,,,,,,,,
61,Heinrich Ferdinand von der Leyen,#,#,08.03.1714,#,1714,Tod,#,,Mainz,66.0,Germany,Dom Mainz Germany,"49,9990056297492","8,273938609815461",#,"Rauch, Mainzer, S. 176; Wikipedia, Heinrich Ferdinand",,,,,,,,,,,,
62,Heinrich Ferdinand von der Leyen,08.03.1714,#,#,#,1714,Beisetzung,#,Dom Mainz,Mainz,66.0,Germany,Dom Mainz Germany,"49,9990056297492","8,273938609815461","Südquerhaus Dom, größtes Denkmal","Arens, Mainzer Inschriften, S. 55–57.",,,,,,,,,,,,
120,Heinrich Ferdinand von der Leyen,#,#,09.07.1653,#,1653,Aufschwörung,Domherr,Domkapitel Trier,Trier,12.0,Germany,Dom Trier Germany,"49,7562639","6,6434155",#,"Wikipedia, Heinrich Ferdinand; Braun, Domkapitel, S. 350",,,,,,,,,,,,
154,Heinrich Ferdinand von der Leyen,#,#,14.01.1705,#,1705,Wahl,Fürstbischof,Bistum Eichstätt,Eichstätt,1.0,Germany,Eichstätter Hochstift Eichstätt Germany,"48,8910779","11,185239",#,"Braun, Domkapitel, S. 351",,,,,,,,,,,,
155,Heinrich Ferdinand von der Leyen,#,#,16.02.1691,08.06.1691,1691,Gesandtschaft,Gesandter,Erzbistum Trier,England,2.0,United Kingdom,England United Kingdom,"52,3555177","-1,1743197",#,"Braun, Domkapitel, S. 350 f.",,,,,,,,,,,,
163,Heinrich Ferdinand von der Leyen,#,#,29.03.1682,08.01.1683,1682,Gesandtschaft,Gesandter,Erzbistum Trier,Frankfurt,2.0,Germany,Frankfurt Germany,"50,1109221","8,6821267",zum Deputationstag,"Braun, Domkapitel, S. 350",,,,,,,,,,,,
195,Heinrich Ferdinand von der Leyen,#,#,08.03.1676,25.02.1677,1676,Gesandtschaft,Gesandter,Erzbistum Trier,Wien,2.0,Austria,Kaiserhof Wien Austria,"48,1975454","16,3686303",zum Kaiser,"Pauly, Bistümer, S. 313; Braun, Domkapitel, S. 350; Wikipedia, Heinrich Ferdinand",,,,,,,,,,,,
196,Heinrich Ferdinand von der Leyen,#,#,26.01.1679,#,1679,Ernennung,Archidiakon,Erzbistum Trier,Karden an der Mosel,1.0,Germany,Karden an der Mosel Germany,"50,1723814","7,3028282",#,"Wikipedia, Heinrich Ferdinand",,,,,,,,,,,,
201,Heinrich Ferdinand von der Leyen,#,#,31.03.1642,#,1642,Geburt,#,#,Köln,5.0,Germany,Köln Germany,"50,937531","6,9602786",Geburtsdatum auf Wikipedia kann nicht stimmen,"Rauch, Domkapitel Mainz, S. 175; Wikipedia, Heinrich Ferdinand; Arens, Mainzer, S. 56",,,,,,,,,,,,
202,Heinrich Ferdinand von der Leyen,#,1653,#,#,1653,Schulbesuch,#,#,Köln,5.0,Germany,Köln Germany,"50,937531","6,9602786",#,"Wikipedia, Heinrich Ferdinand",,,,,,,,,,,,
247,Heinrich Ferdinand von der Leyen,#,#,04.08.1673,#,1673,Gesandtschaft,Gesandter,Erzbistum Trier,Regensburg,2.0,Germany,Regensburg Germany,"49,0134297","12,1016236",zum Reichstag,"Braun, Domkapitel, S. 350",,,,,,,,,,,,
251,Heinrich Ferdinand von der Leyen,#,#,12.11.1667,#,1667,Gesandtschaft,Gesandter,Erzbistum Trier,Rom,2.0,Italy,Rom Italy,"41,9027835","12,4963655",visitatio liminum,"Braun, Domkapitel, S. 350",,,,,,,,,,,,
277,Heinrich Ferdinand von der Leyen,#,#,26.01.1679,#,1679,Ernennung,Probst,Stift St. Kastor,Karden an der Mosel,1.0,Germany,Stift St. Kastor Karden an der Mosel Germany,"50,183648","7,3013025",#,"Pauly, Bistümer, S. 313",,,,,,,,,,,,
284,Heinrich Ferdinand von der Leyen,#,1653,#,#,1653,Schulbesuch,Schüler,#,Trier,2.0,Germany,Trier Germany,"49,749992","6,6371433",#,"Wikipedia, Heinrich Ferdinand",,,,,,,,,,,,
