,pers_name,event_after-date,event_before-date,event_start,event_end,display_date,event_type,pers_function,inst_name,place_name,place_count,country,# Full Address,Latitude,Longitude,comment,source,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28
8,Heinrich Wilhelm Harff von Dreyborn,#,1770,#,1780,1770,Amtsausübung,Vicedominus,#,Bingen,1.0,Germany,Bingen Germany,"49,9667396","7,904596",ab 1780 im Staatskalender n. mehr aufgeführt.,"Kurmainzer Hof- und Staatskalender 1780, S. 3.",,,,,,,,,,,,
36,Heinrich Wilhelm Harff von Dreyborn,#,#,18.04.1741,#,1741,Aufschwörung,Domherr,Domkapitel Hildesheim,Hildesheim,2.0,Germany,Dom Hildesheim Germany,"52,1490222","9,9471512",#,"Dylong, Domkapitel Hildesheim, S. 372.",,,,,,,,,,,,
37,Heinrich Wilhelm Harff von Dreyborn,Dez. 1749,Jan. 1750,#,#,1749,Resignation,Domherr,Domkapitel Hildesheim,Hildesheim,2.0,Germany,Dom Hildesheim Germany,"52,1490222","9,9471512",#,"Dylong, Domkapitel Hildesheim, S. 372.",,,,,,,,,,,,
63,Heinrich Wilhelm Harff von Dreyborn,#,#,25.05.1735,#,1735,Aufschwörung,Domherr,Domkapitel Mainz,Mainz,66.0,Germany,Dom Mainz Germany,"49,9990056297492","8,273938609815461",#,"Rauch, Domkapitel Mainz, S. 177.",,,,,,,,,,,,
64,Heinrich Wilhelm Harff von Dreyborn,#,#,26.07.1779,#,1779,Wahl,Domprobst,Domkapitel Mainz,Mainz,66.0,Germany,Dom Mainz Germany,"49,9990056297492","8,273938609815461",#,"Rauch, Domkapitel Mainz, S. 177.",,,,,,,,,,,,
65,Heinrich Wilhelm Harff von Dreyborn,#,#,04.08.1779,#,1779,Konfirmation,Domprobst,Domkapitel Mainz,Mainz,66.0,Germany,Dom Mainz Germany,"49,9990056297492","8,273938609815461",#,"Rauch, Domkapitel Mainz, S. 177.",,,,,,,,,,,,
121,Heinrich Wilhelm Harff von Dreyborn,#,#,1745,#,1745,Aufschwörung,Domherr,Domkapitel Trier,Trier,12.0,Germany,Dom Trier Germany,"49,7562639","6,6434155",#,"Hersche, Einleitung, S. 185., Dylong, Domkapitel Hildesheim, S. 372",,,,,,,,,,,,
122,Heinrich Wilhelm Harff von Dreyborn,#,#,1775,#,1758,Resignation,#,Domkapitel Trier,Trier,12.0,Germany,Dom Trier Germany,"49,7562639","6,6434155","! Rauch gibt 1758 an, scheint aber nicht zu stimmen, s. Staatskalender","Dylong, Hildesheimer DK, S. 372; Kurmainzer Hof- und Staatskalender 1775, S. 4",,,,,,,,,,,,
173,Heinrich Wilhelm Harff von Dreyborn,#,#,22.09.1715,#,1715,Geburt,#,#,#,22.0,Germany,Germany,"51,165691","10,451526",Kein Ort gefunden,"Rauch, Domkapitel Mainz, S. 177.",,,,,,,,,,,,
174,Heinrich Wilhelm Harff von Dreyborn,#,#,24.09.1715,#,1715,Taufe,#,#,#,22.0,Germany,Germany,"51,165691","10,451526",Kein Ort gefunden,"Dylong, Domkapitel Hildesheim, S. 372",,,,,,,,,,,,
175,Heinrich Wilhelm Harff von Dreyborn,#,#,24.08.1781,#,1781,Tod,#,#,#,22.0,Germany,Germany,"51,165691","10,451526",Kein Ort gefunden,"Rauch, Domkapitel Mainz S. 177.",,,,,,,,,,,,
235,Heinrich Wilhelm Harff von Dreyborn,#,1770,#,#,1770,Wahl,Probst,"Stift St. Martin, Donat und Nazarius",Mockstadt,1.0,#,Mockstadt,"50,3462735","8,9626376","Propstei Maxstatt? s. Archiv vs. Staatskalender – ""Maxstatt"" wird zw. 1744 u. 1745 übernommen, als Propst von Mockstadt im Staatskalender ab 1770 belegt","LA NRW, Harff Dreiborn, Akten AA 0580, Nr. 88;Kurmainzer Hof-und Staatskalender 1746",,,,,,,,,,,,
249,Heinrich Wilhelm Harff von Dreyborn,1777,1781,#,#,1777,Ernennung,Archidiakon,Erzbistum Mainz,Rheingau,1.0,Germany,Rheingau Germany,"51,165691","10,451526",#,"Kurmainzer Hof- und Staatskalender 1777, S. 5",,,,,,,,,,,,
259,Heinrich Wilhelm Harff von Dreyborn,,1775,,,,Aufschwörung,Stiftsherr,Stift Mariengreden,Mainz,3.0,,Stift Mariengreden Mainz Germany,"49,99928007","8,275409983",#,,,,,,,,,,,,,
279,Heinrich Wilhelm Harff von Dreyborn,#,1778,#,#,1778,Wahl,Stiftsprobst,Stift St. Mauriz,Mainz,1.0,Germany,Stift St. Mauriz Mainz Germany,"51,9661366","7,6546359",#,"Kurmainzer Hof- und Staatskalender 1777, S. 5",,,,,,,,,,,,
296,Heinrich Wilhelm Harff von Dreyborn,#,25.05.1735,#,#,1735,Studium,Student,Universität Reims,Reims,1.0,France,Universität Reims France,"49,258329","4,031696","Dauer: 1 J u. 6 Wochen; noch genaue Quelle, außer:","Dylong, Domkapitel Hildesheim, S. 372",,,,,,,,,,,,
