,pers_name,event_after-date,event_before-date,event_start,event_end,display_date,event_type,pers_function,inst_name,place_name,place_count,country,# Full Address,Latitude,Longitude,comment,source,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28
66,Hugo Franz Karl von Eltz (-Kempenich),#,#,17.10.1712,#,1712,Aufschwörung,Domherr,Domkapitel Mainz,Mainz,66.0,Germany,Dom Mainz Germany,"49,9990056297492","8,273938609815461",#,"Rauch, Domkapitel Mainz, S. 140; Hersche, Einleitung, S. 130",,,,,,,,,,,,
67,Hugo Franz Karl von Eltz (-Kempenich),#,#,13.03.1738,#,1738,Wahl,Domkantor,Domkapitel Mainz,Mainz,66.0,Germany,Dom Mainz Germany,"49,9990056297492","8,273938609815461",#,"Nottarp, Mindener Domprobst, S. 120",,,,,,,,,,,,
68,Hugo Franz Karl von Eltz (-Kempenich),#,#,26.03.1743,#,1743,Resignation,Domkantor,Domkapitel Mainz,Mainz,66.0,Germany,Dom Mainz Germany,"49,9990056297492","8,273938609815461",#,"Rauch,Domkapitel Mainz, S. 176",,,,,,,,,,,,
69,Hugo Franz Karl von Eltz (-Kempenich),#,#,26.03.1743,,1743,Wahl,Domprobst,Domkapitel Mainz,Mainz,66.0,Germany,Dom Mainz Germany,"49,9990056297492","8,273938609815461",#,"Rauch, Domkapitel Mainz S. 176",,,,,,,,,,,,
70,Hugo Franz Karl von Eltz (-Kempenich),#,#,1765,#,1765,Niederlage bei der Wahl zum Mainzer Erzbischof,#,Domkapitel Mainz,Mainz,66.0,Germany,Dom Mainz Germany,"49,9990056297492","8,273938609815461",#,"Nottarp, Mindener Domprobst, S. 121",,,,,,,,,,,,
71,Hugo Franz Karl von Eltz (-Kempenich),#,#,#,#,#,Beisetzung,,,Mainz,66.0,Germany,Dom Mainz Germany,"49,9990056297492","8,273938609815461",#,"Nottarp, MIndener Domprobst, S. 145",,,,,,,,,,,,
106,Hugo Franz Karl von Eltz (-Kempenich),#,1736,,#,,Resignation,Domkantor,Domkapitel Minden,Minden,4.0,Germany,Dom Minden Germany,"52,288856","8,9191982",#,"Nottarp Mindener Domprobst,, S. 121",,,,,,,,,,,,
107,Hugo Franz Karl von Eltz (-Kempenich),#,#,#,#,#,Wahl,Domkantor,Domkapitel Minden,Minden,4.0,Germany,Dom Minden Germany,"52,288856","8,9191982","Angabe bei Klassert kann nicht stimmen, da Eltz erst 1736 wegen der Ernennung zum Domprobst Mitglied des Domkapitels wurde. Domkantor als niedere Dignität müsste er ja vorher gewesen sein","Klassert, Kollegialstift St. Peter, S. 54.",,,,,,,,,,,,
108,Hugo Franz Karl von Eltz (-Kempenich),#,#,19.03.1736,#,1736,Ernennung,Domprobst,Domkapitel Minden,Minden,4.0,Germany,Dom Minden Germany,"52,288856","8,9191982",Ernennung durch König FriedrichWilhelmI. in Preußen,,,,,,,,,,,,,
109,Hugo Franz Karl von Eltz (-Kempenich),#,#,1736,#,1736,Aufschwörung,Domherr,Domkapitel Minden,Minden,4.0,Germany,Dom Minden Germany,"52,288856","8,9191982",#,"Hersche, Einleitung, S. 205; Schrader, S. 109",,,,,,,,,,,,
123,Hugo Franz Karl von Eltz (-Kempenich),#,#,1725,#,1725,Aufschwörung,Domherr,Domkapitel Trier,Trier,12.0,Germany,Dom Trier Germany,"49,7562639","6,6434155",#,"Hersche, Einleitung, S. 184; Kurmainzer Hof- und Staatskalender 1779, S. 3.",,,,,,,,,,,,
153,Hugo Franz Karl von Eltz (-Kempenich),#,#,#,#,#,Amtsausübung,Spiritual,,Eichsfeld,1.0,,Eichsfeld Germany,"51,3770314","10,1439183",#,"Klassert, Kollegialstift St. Peter, S. 54.",,,,,,,,,,,,
159,Hugo Franz Karl von Eltz (-Kempenich),#,#,#,#,#,Amtsausübung,Probst,Kollegiatstift ULF,Erfurt,5.0,Germany,Erfurt Germany,"50,9847679","11,0298799",#,"Orts- und Personenregister, S. 404; Kurmainzer Hof- und Staatskalender 1779, S. 3.",,,,,,,,,,,,
160,Hugo Franz Karl von Eltz (-Kempenich),#,#,#,#,#,Amtsausübung,Probst,Kollegiatstift ULF,Erfurt,5.0,Germany,Erfurt Germany,"50,9847679","11,0298799",#,"Schrader, Cathedral Chapter Minden, S. 109; Kurmainzer Hof- und Staatskalender 1779, S. 3",,,,,,,,,,,,
