,pers_name,event_after-date,event_before-date,event_start,event_end,display_date,event_type,pers_function,inst_name,place_name,place_count,country,# Full Address,Latitude,Longitude,comment,source,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28
35,Hugo Wolfgang von Kesselstatt,#,#,1690,#,1690,Aufschwörung,Domherr,Domkapitel Halberstadt,Halberstadt,1.0,Germany,Dom Halberstadt Germany,"51,8916475","11,0488695",#,"De Theux de Montjardin, Chapitré Saint-Lambért, Bd. 3., S. 345.",,,,,,,,,,,,
38,Hugo Wolfgang von Kesselstatt,#,#,1681,#,1681,Aufschwörung,Domherr,Domkapitel Lüttich,Lüttich,2.0,Belgium,Dom Lüttich Belgium,"50,6329586","5,5697498",#,"Hersche, Einleitung, S. 121; Theux, Bd. 3, S. 345",,,,,,,,,,,,
39,Hugo Wolfgang von Kesselstatt,#,#,1687,#,1687,Resignation,Domherr,Domkapitel Lüttich,Lüttich,2.0,Belgium,Dom Lüttich Belgium,"50,6329586","5,5697498",#,"De Theux de Montjardin, Chapitré Saint-Lambért, Bd. 3., S. 345.",,,,,,,,,,,,
72,Hugo Wolfgang von Kesselstatt,#,#,1687,#,1687,Aufschwörung,Domherr,Domkapitel Mainz,Mainz,66.0,Germany,Dom Mainz Germany,"49,9990056297492","8,273938609815461",#,"Hersche, Einleitung, S. 130;",,,,,,,,,,,,
73,Hugo Wolfgang von Kesselstatt,#,#,22.04.1699,#,1699,Wahl,Domkantor,Domkapitel Mainz,Mainz,66.0,Germany,Dom Mainz Germany,"49,9990056297492","8,273938609815461",#,"Rauch, Domkapitel Mainz, S.176",,,,,,,,,,,,
74,Hugo Wolfgang von Kesselstatt,#,#,18.12.1709,#,#,Resignation,Domkantor,Domkapitel Mainz,Mainz,66.0,Germany,Dom Mainz Germany,"49,9990056297492","8,273938609815461",#,,,,,,,,,,,,,
75,Hugo Wolfgang von Kesselstatt,#,#,18.12.1709,#,1709,Wahl,Domdekan,Domkapitel Mainz,Mainz,66.0,Germany,Dom Mainz Germany,"49,9990056297492","8,273938609815461",#,"Rauch, Domkapitel Mainz, S. 176, https://www.archivportal-d.de/item/YD4OU42NHIDVH4FCNTLSYHTP5B4TOXBB","; Schrohe, Stadt Mainz, S. 65",,,,,,,,,,,
76,Hugo Wolfgang von Kesselstatt,#,#,18.09.1724,#,#,Resignation,Domdekan,Domkapitel Mainz,Mainz,66.0,Germany,Dom Mainz Germany,"49,9990056297492","8,273938609815461",#,,,,,,,,,,,,,
77,Hugo Wolfgang von Kesselstatt,#,#,18.09.1724,#,1724,Wahl,Domprobst,Domkapitel Mainz,Mainz,66.0,Germany,Dom Mainz Germany,"49,9990056297492","8,273938609815461",#,"Rauch, Domkapitel Mainz, S. 176",,,,,,,,,,,,
78,Hugo Wolfgang von Kesselstatt,#,02.01.1738,#,#,1738,Beisetzung,#,Dom Mainz,Mainz,66.0,Germany,Dom Mainz Germany,"49,9990056297492","8,273938609815461",Inschrift,"Arens, Mainzer Inschriften, S. 66",,,,,,,,,,,,
178,Hugo Wolfgang von Kesselstatt,#,#,1659,#,1659,Geburt,#,#,#,22.0,Germany,Germany,"51,165691","10,451526",#,"Wikipedia, Hugo Wolfgang von Kesselstatt",,,,,,,,,,,,
229,Hugo Wolfgang von Kesselstatt,#,#,02.01.1738,#,1738,Tod,#,,Mainz,12.0,Germany,Mainz Germany,"49,9928617","8,2472526",#,"Rauch, Dom Mainzkapteil, S. 176;",,,,,,,,,,,,
244,Hugo Wolfgang von Kesselstatt,#,#,1720,18.12.1720,1720,Amtsausübung,Kämmerer des weltlichen Gerichts,Stadt Mainz,Mainz,3.0,Germany,Rathaus Mainz Germany,"50,0003654","8,2769462",#,"Schrohe, Stadt Mainz, S. 65",,,,,,,,,,,,
265,Hugo Wolfgang von Kesselstatt,#,#,#,#,#,Aufschwörung,Stiftsherr,Stift St. Alban,Mainz,7.0,Germany,Stift St. Alban Mainz Germany,"49,99","8,28",#,"Wikipedia, Hugo Wolfgang von Kesselstatt",,,,,,,,,,,,
274,Hugo Wolfgang von Kesselstatt,#,#,#,#,#,Aufschwörung,Stiftsherr,Stift St. Ferrutius Bleidenstadt,Bleidenstadt,2.0,Germany,Stift St. Ferrutius Bleidenstadt Germany,"50,139647","8,13748","Stiftsherren von Bleidenstadt verrichteten seit 1682 wegen Zerstörung ihrer Kirche ihren Chordienst in der St. Sebastianskapelle in Mainz am Höfchen aus, Noll/Burkhardt, S. 78","Wikipedia, Hugo Wolfgang von Kesselstatt",,,,,,,,,,,,
292,Hugo Wolfgang von Kesselstatt,#,#,1676,#,1676,Studium,Student,Universität Köln,Köln,1.0,Germany,Universität Köln Germany,"50,937531","6,9602786",#,"Keussen, Matrikel Köln, Bd. 5, S. 4. sowie Bd. 6, S. 212.",,,,,,,,,,,,
