,pers_name,event_after-date,event_before-date,event_start,event_end,display_date,event_type,pers_function,inst_name,place_name,place_count,country,# Full Address,Latitude,Longitude,comment,source,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28
1,Johann Heppenheim genannt von Saal,#,#,1630,#,1630,Studium,Student,Albertina,Freiburg,1.0,Germany,Albertina Freiburg Germany,"47,9990077","7,8421043",#,"Wendehorst, Das Stift Neumünster in Würzburg, S. 321 (https://books.google.de/books?id=CnkB23QthD8C&pg=PA321#v=onepage&q&f=false)",,,,,,,,,,,,
79,Johann Heppenheim genannt von Saal,#,#,1636,#,1636,Aufschwörung,Domherr,Domkapitel Mainz,Mainz,66.0,Germany,Dom Mainz Germany,"49,9990056297492","8,273938609815461",#,"Rauch, Domkapitel Mainz, S. 174, Hersche, Deutsche Domkapitel, S. 128",,,,,,,,,,,,
80,Johann Heppenheim genannt von Saal,#,#,06.02.1653,#,1653,Wahl,Domdekan,Domkapitel Mainz,Mainz,66.0,Germany,Dom Mainz Germany,"49,9990056297492","8,273938609815461",#,"Wendehorst, Das Stift Neumünster in Würzburg, S. 321",,,,,,,,,,,,
81,Johann Heppenheim genannt von Saal,#,#,17.07.1668,#,1668,Resignation,Domdekan,Domkapitel Mainz,Mainz,66.0,Germany,Dom Mainz Germany,"49,9990056297492","8,273938609815461",#,"Rauch, Domkapitel Mainz, S. 174",,,,,,,,,,,,
82,Johann Heppenheim genannt von Saal,#,#,17.07.1668,#,1668,Wahl,Domprobst,Domkapitel Mainz,Mainz,66.0,Germany,Dom Mainz Germany,"49,9990056297492","8,273938609815461",#,"Rauch, Domkapitel Mainz, S. 174",,,,,,,,,,,,
83,Johann Heppenheim genannt von Saal,03.02.1672,#,#,#,#,Beisetzung,#,Dom Mainz,Mainz,66.0,Germany,Dom Mainz Germany,"49,9990056297492","8,273938609815461",#,"Wendehorst, Das Stift Neumünster in Würzburg, S. 321",,,,,,,,,,,,
133,Johann Heppenheim genannt von Saal,#,#,1617,#,1617,Aufschwörung,Domherr,Domkapitel Worms,Worms,6.0,Germany,Dom Worms Germany,"49,6341372","8,3507182","Wikipedia schreibt, ab 1617 tauche von Saal in den Domkapitelprotokollen auf, Herrsche nimmt 1617 als Eintrittsdatum in das Domkapitel Worms, was in Verbindung mit dem Alter die Vermutung naheliegt, es handelt sich bei diesem Ereignis um die Ernennung zum Domizellar","Hersche, Domkapitel, S. 128; Wikipedia, Johann von Heppenheim genannt vom Saal",,,,,,,,,,,,
134,Johann Heppenheim genannt von Saal,#,#,1654,#,1654,Wahl,Domprobst,Domkapitel Worms,Worms,6.0,Germany,Dom Worms Germany,"49,6341372","8,3507182",#,"Wikipedia, Johann von Heppenheim genannt vom Saal",,,,,,,,,,,,
144,Johann Heppenheim genannt von Saal,#,#,15.10.1622,#,1622,Aufschwörung,Domherr,Domkapitel Würzburg,Würzburg,15.0,Germany,Dom Würzburg Germany,"49,7933488","9,9325575",#,"Wendehorst, Das Stift Neumünster in Würzburg, S. 321",,,,,,,,,,,,
179,Johann Heppenheim genannt von Saal,#,#,1609,#,1609,Geburt,#,#,#,22.0,Germany,Germany,"51,165691","10,451526",#,"Hersche, Deutsche Domkapitel, S. 128",,,,,,,,,,,,
180,Johann Heppenheim genannt von Saal,#,#,1619,1626,1619,Schulbesuch,#,#,#,22.0,Germany,Germany,"51,165691","10,451526","Wird von Wikipedia als ""Studium"" bezeichnet. Aufgrund des Alters eher ""Schule""?","Wikipedia, Johann von Heppenheim genannt vom Saal",,,,,,,,,,,,
214,Johann Heppenheim genannt von Saal,#,#,1666,#,1666,Vertretung des Kurfürsten während eines Pestausbruches,#,Erzstift Mainz,Mainz,14.0,Germany,Kurfürstliches Schloss Mainz Germany,"50,0069542","8,2698184",#,"Luschberger, Das Domkapitel Mainz (http://www.historische-eschborn.de/berichte/Main-Taunus-Kreis/Mainzer_Domkapitel/body_mainzer_domkapitel.html)",,,,,,,,,,,,
230,Johann Heppenheim genannt von Saal,#,#,03.02.1672,#,1672,Tod,#,#,Mainz,12.0,Germany,Mainz Germany,"49,9928617","8,2472526",#,"Wendehorst, Das Stift Neumünster in Würzburg, S. 321",,,,,,,,,,,,
237,Johann Heppenheim genannt von Saal,#,#,13.05.1653,#,1653,Wahl,Stiftsprobst,Stift Neumünster,Würzburg,1.0,Germany,Neumünster Stiftskapitel Würzburg Germany,"49,7939163","9,931242",#,"Wendehorst, Das Stift Neumünster in Würzburg, S. 321",,,,,,,,,,,,
290,Johann Heppenheim genannt von Saal,1654,#,#,#,#,Amtsausübung,Kanzler,Universität Heidelberg,Heidelberg,2.0,Germany,Universität Heidelberg Germany,"49,3987524","8,6724335","Genaues Datum nicht überliefert, dieses Amt fiel ihm als Wormser Domprobst zu","Wikipedia, Johann von Heppenheim genannt vom Saal",,,,,,,,,,,,
295,Johann Heppenheim genannt von Saal,#,#,1634,#,1634,Studium,Student,Universität Perugia,Perugia,1.0,Italy,Universität Perugia Italy,"43,1164268","12,3868984",#,"Wendehorst, Das Stift Neumünster in Würzburg, S. 321",,,,,,,,,,,,
