,pers_name,event_after-date,event_before-date,event_start,event_end,display_date,event_type,pers_function,inst_name,place_name,place_count,country,# Full Address,Latitude,Longitude,comment,source,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28
0,Johann Philipp Franz Graf von Schönborn,#,#,1687,#,1687,Studium,Student,Academia Julia,Würzburg,1.0,Germany,Academia Julia Würzburg Germany,"49,7913044","9,9533548",#,"Romberg, Bistümer der Kirchenprovinz Mainz, S. 290",,,,,,,,,,,,
3,Johann Philipp Franz Graf von Schönborn,#,#,1681,#,1681,Schulbesuch,Schüler,Jesuitenschule,Aschaffenburg,2.0,Germany,Aschaffenburg Germany,"49,9806625","9,1355554",#,"WürzburgWiki, von Schönborn",,,,,,,,,,,,
4,Johann Philipp Franz Graf von Schönborn,#,#,1690,#,1690,Studium,Student,Jesuitenkolleg,Aschaffenburg,2.0,Germany,Aschaffenburg Germany,"49,9806625","9,1355554",#,"Wendehorst, ""Johann Philipp Franz"", S. 546",,,,,,,,,,,,
17,Johann Philipp Franz Graf von Schönborn,#,#,1690,03.01.1693,1690,Studium,Student,Collegium Germanicum,Rom,4.0,Italy,Collegium Germanicum Rom Italy,"41,9050908","12,4917397",Studium von Theologie und Kirchenrecht,"Bärmann, Universität Mainz, S.726; Romberg, Bistümer der Kirchenprovinz Mainz, S. 290",,,,,,,,,,,,
24,Johann Philipp Franz Graf von Schönborn,#,#,1694,#,1694,Aufschwörung,Domherr,Domkapitel Bamberg,Bamberg,4.0,Germany,Dom Bamberg Germany,"49,8907746","10,882515",#,"Germania Sacra online, ""Johann Philipp Franz Graf von Schönborn""",,,,,,,,,,,,
25,Johann Philipp Franz Graf von Schönborn,#,#,1698,#,1698,Resignation,Domherr,Domkapitel Bamberg,Bamberg,4.0,Germany,Dom Bamberg Germany,"49,8907746","10,882515",#,"Germania Sacra online, ""Johann Philipp Franz Graf von Schönborn"";Hersche, Domkapitel, S. 75",,,,,,,,,,,,
84,Johann Philipp Franz Graf von Schönborn,#,#,1687,#,1687,Aufschwörung,Domherr,Domkapitel Mainz,Mainz,66.0,Germany,Dom Mainz Germany,"49,9990056297492","8,273938609815461",#,"Germania Sacra online, ""Johann Philipp Franz Graf von Schönborn""",,,,,,,,,,,,
85,Johann Philipp Franz Graf von Schönborn,#,#,04.04.1714,#,1714,Wahl,Domprobst,Domkapitel Mainz,Mainz,66.0,Germany,Dom Mainz Germany,"49,9990056297492","8,273938609815461",#,"Germania Sacra online, ""Johann Philipp Franz Graf von Schönborn""",,,,,,,,,,,,
145,Johann Philipp Franz Graf von Schönborn,#,#,1682,#,1682,Aufschwörung,Domherr,Domkapitel Würzburg,Würzburg,15.0,Germany,Dom Würzburg Germany,"49,7933488","9,9325575",#,"Greipl, Schönborn, S. 442",,,,,,,,,,,,
146,Johann Philipp Franz Graf von Schönborn,#,#,1697,1698,1697,Residenz,Domherr,Domkapitel Würzburg,Würzburg,15.0,Germany,Dom Würzburg Germany,"49,7933488","9,9325575",Widerspruch zur Kavalierstour,"Romberg, Bistümer der Kirchenprovinz Mainz, S. 290",,,,,,,,,,,,
