,pers_name,event_after-date,event_before-date,event_start,event_end,display_date,event_type,pers_function,inst_name,place_name,place_count,country,# Full Address,Latitude,Longitude,comment,source,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28
18,Johann Wilhelm Wolff-Metternich zur Gracht,#,1650,1644,#,1650,Studium,Student,Collegium Germanicum,Rom,4.0,Italy,Collegium Germanicum Rom Italy,"41,9050908","12,4917397","Allerdings keine genauere Angabe bei Becker-Huberti, Die Tridentische Reform S. 47 mit Anm. 27 und auch kein Verweis, woher diese Angabe stammt","Becker-Huberti, Die Tridentische Reform im Bistum Münster, S. 47 mit Anm. 27; Schmidt, Collegium Germanicum",,,,,,,,,,,,
86,Johann Wilhelm Wolff-Metternich zur Gracht,#,#,30.09.1630,#,1630,Aufschwörung,Domherr,Domkapitel Mainz,Mainz,66.0,Germany,Dom Mainz Germany,"49,9990056297492","8,273938609815461","Hersche, Deutsche Domkapitel, S. 128 hat 1631 als Datum für die Aufschwörung. Siehe Spalte ""source"" für die Begründung, warum diese Datum ausgewählt wurde","Rauch, Domkapitel Mainz, S. 154; aus der Antwortmail auf eine Frage zu diesem Datum: ""im Findbuch zum Aktenbestand des Archivs Schloss Gracht findet sich bei Akte 505 der enthält-Vermerk: „zum Kanonikat Johann Wilhelm Wolff Metternichs am Dom zu Mainz 1630-1643“. Dies spricht also dafür, dass er bereits 1630 zum Domkapitel aufgeschwört wurde.""",,,,,,,,,,,,
87,Johann Wilhelm Wolff-Metternich zur Gracht,#,#,12.11.1674,#,1674,Wahl,Domscholaster,Domkapitel Mainz,Mainz,66.0,Germany,Dom Mainz Germany,"49,9990056297492","8,273938609815461","Laut Wikipedia, Johann Wilhelm Wolff von Metternich zur Gracht, wird er 1675 Domscholaster, so auch laut Becker-Huberti, Die Tridentische Reform, S. 341. Allerdings genaues Datum bei Rauch (siehe Spalte source), sodass dieses Datum ausgewählt wurde","Rauch, Domkapitel Mainz, S. 154; Wikipedia, Johann Wilhelm Wolff von Metternich zur Gracht",,,,,,,,,,,,
88,Johann Wilhelm Wolff-Metternich zur Gracht,#,#,4.11.1679,#,1679,Resignation,Domscholaster,Domkapitel Mainz,Mainz,66.0,Germany,Dom Mainz Germany,"49,9990056297492","8,273938609815461",#,"Rauch, Domkapitel Mainz, S. 167",,,,,,,,,,,,
89,Johann Wilhelm Wolff-Metternich zur Gracht,#,#,4.11.1679,#,1679,Wahl,Domdekan,Domkapitel Mainz,Mainz,66.0,Germany,Dom Mainz Germany,"49,9990056297492","8,273938609815461",#,"Rauch, Domkapitel Mainz, S. 167",,,,,,,,,,,,
90,Johann Wilhelm Wolff-Metternich zur Gracht,#,#,20.2.1685,#,1685,Resignation,Domdekan,Domkapitel Mainz,Mainz,66.0,Germany,Dom Mainz Germany,"49,9990056297492","8,273938609815461",#,"Rauch, Domkapitel Mainz, S. 175",,,,,,,,,,,,
91,Johann Wilhelm Wolff-Metternich zur Gracht,#,#,20.2.1685,#,1685,Wahl,Domprobst,Domkapitel Mainz,Mainz,66.0,Germany,Dom Mainz Germany,"49,9990056297492","8,273938609815461","Becker-Huberti, Die Tridentische Reform, S. 341, hat für dieses Amt das Jahr 1687","Rauch, Domkapitel Mainz, S. 175",,,,,,,,,,,,
92,Johann Wilhelm Wolff-Metternich zur Gracht,#,#,17.12.1694,#,1694,Beisetzung,,Dom Mainz,Mainz,66.0,,Dom Mainz Germany,"49,9990056297492","8,273938609815461",#,"Arens, Mainzer Inschriften, S. 40ff.",,,,,,,,,,,,
110,Johann Wilhelm Wolff-Metternich zur Gracht,#,#,1693,#,1693,Resignation,Domherr,Domkapitel Münster,Münster,2.0,Germany,Dom Münster Germany,"51,9629806","7,6257716",#,"Becker-Huberti, Die Tridentische Reform, S. 341",,,,,,,,,,,,
111,Johann Wilhelm Wolff-Metternich zur Gracht,#,#,1649,#,1649,Aufschwörung,Domherr,Domkapitel Münster,Münster,2.0,Germany,Dom Münster Germany,"51,9629806","7,6257716","Laut Becker-Huberti, Die Tridentische Reform im Bistum Münster, S. 341 zurückdatiert auf 1642","Hersche, Deutsche Domkapitel, S. 135",,,,,,,,,,,,
