,pers_name,event_after-date,event_before-date,event_start,event_end,display_date,event_type,pers_function,inst_name,place_name,place_count,country,# Full Address,Latitude,Longitude,comment,source,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28
19,Karl Emmerich Franz von Breidbach-Bürresheim,#,#,1694,1696,1694,Studium,Student,Collegium Germanicum,Rom,4.0,Italy,Collegium Germanicum Rom Italy,"41,9050908","12,4917397",#,"Verzeichnis der Mainzer Universitätsmatrikeln, S. 108.",,,,,,,"Rauch, 153",,,,,
93,Karl Emmerich Franz von Breidbach-Bürresheim,#,#,27.01.1710,#,1710,Aufschwörung,Domherr,Domkapitel Mainz,Mainz,66.0,Germany,Dom Mainz Germany,"49,9990056297492","8,273938609815461",#,"Hersche, Einleitung, S. 130",,,,,,,,,,,,
94,Karl Emmerich Franz von Breidbach-Bürresheim,#,#,9.10.1724,#,1724,Wahl,Domdekan,Domkapitel Mainz,Mainz,66.0,Germany,Dom Mainz Germany,"49,9990056297492","8,273938609815461",#,"Verzeichnis der Mainzer Universitätsmatrikeln, S. 108",,,,,,,,,,,,
95,Karl Emmerich Franz von Breidbach-Bürresheim,#,#,12.02.1738,#,1738,Wahl,Domprobst,Domkapitel Mainz,Mainz,66.0,Germany,Dom Mainz Germany,"49,9990056297492","8,273938609815461",Datum der Wahl in Universitätsmatrikeln 17.02.1739,"Rauch, S. 176; Verzeichnis der Mainzer Universitätsmatrikeln, S. 108 (Datum der Wahl = 17.02.1738",,,,,,,,,,,,
96,Karl Emmerich Franz von Breidbach-Bürresheim,,,12.02.1738,,,Resignation,Domdekan,Domkapitel Mainz,Mainz,66.0,,Dom Mainz Germany,"49,9990056297492","8,273938609815461",#,"Rauch, Domkapitel Mainz, S. 176.",,,,,,,,,,,,
97,Karl Emmerich Franz von Breidbach-Bürresheim,20.02.1743,,,,,Beisetzung,,Dom Mainz,Mainz,66.0,,Dom Mainz Germany,"49,9990056297492","8,273938609815461",#,"Arens, Mainzer Inschriften, S. 71",,,,,,,,,,,,
124,Karl Emmerich Franz von Breidbach-Bürresheim,#,#,1687,#,1687,Aufschwörung,Domherr,Domkapitel Trier,Trier,12.0,Germany,Dom Trier Germany,"49,7562639","6,6434155",#,"Hersche, Einleitung, S. 184",,,,,,,,,,,,
125,Karl Emmerich Franz von Breidbach-Bürresheim,#,#,1714,#,1714,Resignation,Domherr,Domkapitel Trier,Trier,12.0,Germany,Dom Trier Germany,"49,7562639","6,6434155",#,"Hersche, Einleitung, S. 184",,,,,,,,,,,,
183,Karl Emmerich Franz von Breidbach-Bürresheim,#,#,20.02.1743,#,1743,Tod,#,#,#,22.0,Germany,Germany,"51,165691","10,451526",Kein Ort gefunden,"Weidenbach, Breidbach- Bürresheim, S. 103,",,,,,,,,,,,,
231,Karl Emmerich Franz von Breidbach-Bürresheim,#,#,#,#,#,Präsident,Präsident,???,Mainz,12.0,Germany,Mainz Germany,"49,9928617","8,2472526",ORT UNSICHER: muss nachrecherchiert werden,"Weidenbach, Breidbach-Bürresheim, S. 103;",,,,,,,,,,,,
245,Karl Emmerich Franz von Breidbach-Bürresheim,1740,,#,#,1740,Amtsausübung,Geheimer Rat,Stadt Mainz,Mainz,3.0,Germany,Rathaus Mainz Germany,"50,0003654","8,2769462",Amtsausübung mindestens seit 1740 (Staatskalender),"Kurzmainzer Hof- und Staatskalender 1740, S. 2.",,,,,,,,,,,,
246,Karl Emmerich Franz von Breidbach-Bürresheim,#,#,1720,1743,1720,Amtsausübung,Kämmerer des weltlichen Gerichts der Stadt,Stadt Mainz,Malnz,3.0,Germany,Rathaus Mainz Germany,"50,0003654","8,2769462",#,"Verzeichnis der Mainzer Universitätsmatrikeln, S. 108; Schrohe, Stadt Mainz, S. 65; Kurzmainzer Hof- und Staatskalender Mainz 1743.",,,,,,,,,,,,
276,Karl Emmerich Franz von Breidbach-Bürresheim,,,,,,Aufschwörung,Stiftsherr,St. Ignaz,Mainz,1.0,Germany,Stift St. Ignaz Mainz Germany,"49,9956325","8,2782727",#,"Klassert, Kollegialstift St. Peter, S. 90",,,,,,,,,,,,
281,Karl Emmerich Franz von Breidbach-Bürresheim,#,#,18.06.1712,#,1712,Aufschwörung,Stiftsherr,Stift St. Peter,Mainz,2.0,Germany,Stift St. Peter Mainz Germany,"50,004825","8,26985",#,"Weidenbach, Breidbach-Bürresheim, S. 103; Verzeichnis der Mainzer Universitätsmatrikeln, S. 108",,,,,,,,,,,,
283,Karl Emmerich Franz von Breidbach-Bürresheim,#,#,18.06.1712,#,1712,Wahl,Dekan,Stift St.Viktor,Mainz,2.0,Germany,Stift St. Viktor Mainz Germany,"49,981969943629636","8,29649529311655",#,"Weidenbach, Breidbach-Bürresheim, S. 103; Klassert, Kollegialstift St. Peter, S. 90.",,,,,,,,,,,,
285,Karl Emmerich Franz von Breidbach-Bürresheim,#,#,18.01.1674,#,1674,Geburt,#,#,Trier,2.0,Germany,Trier Germany,"49,749992","6,6371433","Angabe Trier unsicher (siehe Universitätsmatrikeln, S. 108","Rauch, Domkapitel Mainz, S. 168; verzeichnis der Mainzer Universitätsmatrikeln, S. 108; Hersche, Einleitung, S. 130",,,,,,,,,,,,
