,pers_name,event_after-date,event_before-date,event_start,event_end,display_date,event_type,pers_function,inst_name,place_name,place_count,country,# Full Address,Latitude,Longitude,comment,source,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28
13,Lothar Friedrich von Metternich-Burscheid,#,#,24.06.1656,#,1656,Weihe,Bischof,#,Bruchsal,1.0,Germany,Bruchsal Germany,"49,1249712","8,5844108",#,"Christ, Metternich-Burscheidt, S. 9",,,,,,,,,,,,
16,Lothar Friedrich von Metternich-Burscheid,#,#,29.09.1617,#,1617,Geburt,#,#,Burscheid,1.0,Germany,Burscheid Germany,"51,085636","7,1105932",Luxemburg,"Rauch, Mainzer Inschriften, S. 174, Christ, Metternich-Burscheidt, S. 9",,,,,,,,,,,,
98,Lothar Friedrich von Metternich-Burscheid,#,#,1639,#,1639,Aufschwörung,Domherr,Domkapitel Mainz,Mainz,66.0,Germany,Dom Mainz Germany,"49,9990056297492","8,273938609815461",#,"Hersche, Einleitung, S. 129; Christ, Metternich-Burscheidt, S. 9",,,,,,,,,,,,
99,Lothar Friedrich von Metternich-Burscheid,#,#,21.03.1672,#,1672,Wahl,Domprobst,Domkapitel Mainz,Mainz,66.0,Germany,Dom Mainz Germany,"49,9990056297492","8,273938609815461",#,"Hersche, Einleitung, S. 129, Rauch, Domkapitel Mainz, S. 174, Christ, Metternich-Burscheidt, S. 9",,,,,,,,,,,,
100,Lothar Friedrich von Metternich-Burscheid,#,#,12.02.1673,#,1673,Resignation,Domherr,Domkapitel Mainz,Mainz,66.0,Germany,Dom Mainz Germany,"49,9990056297492","8,273938609815461",wg. Amtsantritt als Erzbischof,"Hersche, Einleitung, S. 129",,,,,,,,,,,,
101,Lothar Friedrich von Metternich-Burscheid,03.06.1675,#,#,#,#,Beisetzung,,Dom Mainz,Mainz,66.0,Germany,Dom Mainz Germany,"49,9990056297492","8,273938609815461",#,"Arens, Inschriften, S. 16",,,,,,,,,,,,
115,Lothar Friedrich von Metternich-Burscheid,#,#,1627,#,1627,Aufschwörung,Domherr,Domkapitel Speyer,Speyer,6.0,Germany,Dom Speyer Germany,"49,3172765","8,4412172",#,"Hersche, Einleitung, S. 166",,,,,,,,,,,,
116,Lothar Friedrich von Metternich-Burscheid,#,#,1652,#,1652,Resignation,Domherr,Domkapitel Speyer,Speyer,6.0,Germany,Dom Speyer Germany,"49,3172765","8,4412172",wg. Wahl zum Bischof,"Hersche, Einleitung, S. 166",,,,,,,,,,,,
117,Lothar Friedrich von Metternich-Burscheid,03.06.1675,,,,,Beisetzung des Herzens,,Speyrer Dom,Speyer,6.0,Germany,Dom Speyer Germany,"49,3172765","8,4412172",#,,,,,,,,,,,,,
118,Lothar Friedrich von Metternich-Burscheid,#,#,11.04.1652,#,1652,Wahl,Bischof,Bistum Speyer,Speyer,6.0,Germany,Dom Speyer Germany,"49,3172765","8,4412172",#,"Christ, Metternich-Burscheidt, S. 9",,,,,,,,,,,,
126,Lothar Friedrich von Metternich-Burscheid,#,#,1625,#,1625,Aufschwörung,Domherr,Domkapitel Trier,Trier,12.0,Germany,Dom Trier Germany,"49,7562639","6,6434155",#,"Hersche, Einleitung, S. 182; Christ, Metternich-Burscheidt, S. 9",,,,,,,,,,,,
127,Lothar Friedrich von Metternich-Burscheid,#,#,1645,#,1645,Wahl,Domkustos,Domkapitel Trier,Trier,12.0,Germany,Dom Trier Germany,"49,7562639","6,6434155",#,"Christ, Metternich-Burscheidt, S. 9",,,,,,,,,,,,
128,Lothar Friedrich von Metternich-Burscheid,#,#,1654,#,1654,Resignation,Domkustos,Domkapitel Trier,Trier,12.0,Germany,Dom Trier Germany,"49,7562639","6,6434155",#,"Christ, Metternich-Burscheidt, S. 9",,,,,,,,,,,,
129,Lothar Friedrich von Metternich-Burscheid,#,#,1653,#,1653,Wahl,Capellanus,Domkapitel Trier,Trier,12.0,Germany,Dom Trier Germany,"49,7562639","6,6434155",#,"Christ, Metternich-Burscheidt, S. 9",,,,,,,,,,,,
130,Lothar Friedrich von Metternich-Burscheid,#,#,1660,#,1660,Wahl,Oberchorbischof,Domkapitel Trier,Trier,12.0,Germany,Dom Trier Germany,"49,7562639","6,6434155",#,"Christ, Metternich-Burscheidt, S. 9",,,,,,,,,,,,
135,Lothar Friedrich von Metternich-Burscheid,#,#,1672,#,1672,Wahl,Koadjutor,Bistum Worms,Worms,6.0,Germany,Dom Worms Germany,"49,6341372","8,3507182","Die Wormser Postulation wurde nie rechtskräftig, da nicht vom Papst bestätigt","Christ, Metternich-Burscheidt, S. 18",,,,,,,,,,,,
136,Lothar Friedrich von Metternich-Burscheid,,20.02.1673,,,,Wahl,Bischof,Bistum Worms,Worms,6.0,Germany,Dom Worms Germany,"49,6341372","8,3507182",genaues Datum der Wahl nicht überliefert,"Christ, Metternich-Burscheidt, S. 20f.",,,,,,,,,,,,
184,Lothar Friedrich von Metternich-Burscheid,#,#,03.09.1640,#,1640,Weihe,Subdiakon,#,#,22.0,Germany,Germany,"51,165691","10,451526",Kein Ort gefunden,"Christ, Metternich-Burscheidt, S. 9",,,,,,,,,,,,
185,Lothar Friedrich von Metternich-Burscheid,#,#,08.09.1640,#,1640,Weihe,Diakon,#,#,22.0,Germany,Germany,"51,165691","10,451526",Kein Ort gefunden,"Christ, Metternich-Burscheidt, S. 9",,,,,,,,,,,,
186,Lothar Friedrich von Metternich-Burscheid,#,#,17.12.1652,#,1652,Weihe,Priester,#,#,22.0,Germany,Germany,"51,165691","10,451526",Kein Ort gefunden,"Christ, Metternich-Burscheidt, S. 9; Jürtensmeier, Metternich-Burscheid, in Gatz, Bischöfe, S. 309",,,,,,,,,,,,
216,Lothar Friedrich von Metternich-Burscheid,,,15.12.1670,,,Wahl,Koadjutor,Erzbistum Mainz,Mainz,14.0,Germany,Kurfürstliches Schloss Mainz Germany,"50,0069542","8,2698184",#,,,,,,,,,,,,,
217,Lothar Friedrich von Metternich-Burscheid,#,#,12.02.1673,#,1673,Amtsantritt,Erzbischof,Erzbistum Mainz,Mainz,14.0,Germany,Kurfürstliches Schloss Mainz Germany,"50,0069542","8,2698184",#,"Christ, Metternich-Burscheidt, S. 20f.",,,,,,,,,,,,
232,Lothar Friedrich von Metternich-Burscheid,#,#,03.06.1675,#,1675,Tod,#,#,Mainz,12.0,Germany,Mainz Germany,"49,9928617","8,2472526",#,"Rauch, Domkapitel Mainz, S. 174, Christ, Metternich-Burscheidt, S. 26",,,,,,,,,,,,
241,Lothar Friedrich von Metternich-Burscheid,#,#,#,1635,1635,Schulbesuch,Schüler,Universität Pont-à-Mousson,Pont-à-Mousson,2.0,France,Pont-à-Mousson France,"48,90329","6,054868",#,"Christ, Metternich-Burscheidt, S. 9",,,,,,,,,,,,
242,Lothar Friedrich von Metternich-Burscheid,#,#,1641,#,1641,Studium,Student,Universität Pont-à-Mousson,Pont-à-Mousson,2.0,France,Pont-à-Mousson France,"48,90329","6,054868",#,"Christ, Metternich-Burscheidt, S. 9",,,,,,,,,,,,
293,Lothar Friedrich von Metternich-Burscheid,#,#,1636,#,1636,Studium,Student,Universität Löwen,Löwen,1.0,Belgium,Universität Löwen Belgium,"50,8779545","4,7002953",#,"Christ, Metternich-Burscheidt, S. 9",,,,,,,,,,,,
297,Lothar Friedrich von Metternich-Burscheid,#,#,1635,1636,1635,Studium,Student,Universität Trier,Trier,1.0,Germany,Universität Trier Germany,"49,749992","6,6371433",#,"Christ, Metternich-Burscheidt, S. 9",,,,,,,,,,,,
