,pers_name,event_after-date,event_before-date,event_start,event_end,display_date,event_type,pers_function,inst_name,place_name,place_count,country,# Full Address,Latitude,Longitude,comment,source,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28
6,Marquard Schenk von Castell,#,#,09.08.1605,#,1605,Geburt,#,#,Berg bei Liebenau (oder Liebenthann?) bei Augsburg,2.0,Germany,Berg bei Liebenau (oder Liebenthann?) bei Augsburg Germany,"48,3705449","10,89779","zwei Geburtsdaten angegeben, das spätere als Taufdatum?","Reiter, Ernst, ""Marquard II."" in: Neue Deutsche Biographie 16 (1990), S. 239-240 (https://www.deutsche-biographie.de/sfz58490.html#ndbcontent_leben)",,,,,,,,,,,,
7,Marquard Schenk von Castell,#,#,10.08.1605,#,1605,Geburt,#,#,Berg bei Liebenau (oder Liebenthann?) bei Augsburg,2.0,Germany,Berg bei Liebenau (oder Liebenthann?) bei Augsburg Germany,"48,3705449","10,89779","zwei Geburtsdaten angegeben, das spätere als Taufdatum?","Reiter, Marquard II., S. 239-240",,,,,,,,,,,,
9,Marquard Schenk von Castell,#,#,23.12.1628,#,1628,Weihe,Diakon,Bistum Eichstätt,Eichstätt,3.0,Germany,Bistum Eichstätt Eichstätt Germany,"48,8910779","11,185239",#,"Braun, Das Domkapitel Eichstätt, S. 440",,,,,,,,,,,,
10,Marquard Schenk von Castell,#,#,02.06.1635,#,1635,Weihe,Priester,Bistum Eichstätt,Eichstätt,3.0,Germany,Bistum Eichstätt Eichstätt Germany,"48,8910779","11,185239",#,"Reiter, Marquard II., S. 239-240",,,,,,,,,,,,
11,Marquard Schenk von Castell,#,#,28.07.1637,#,1637,Amtsantritt,Bischof,Bistum Eichstätt,Eichstätt,3.0,Germany,Bistum Eichstätt Eichstätt Germany,"48,8910779","11,185239",#,"Braun, Das Domkapitel Eichstätt, S. 441",,,,,,,,,,,,
20,Marquard Schenk von Castell,#,#,1625,1627,1625,Studium,Student,Collegium Germanicum,Rom,4.0,Italy,Collegium Germanicum Rom Italy,"41,9050908","12,4917397","Allerdings keine Erwähnung bei Schmidt, Das Collegium Germanicum in Rom und die Germaniker. Möglicherweise, da von Schenk von Castell nicht seinen Abschluss im Collegium Germanicum machte und Schmidt eine Auflistung der Alumni und Konviktoristen anfertigte","Reiter, Marquard II., S. 239-240",,,,,,,,,,,,
21,Marquard Schenk von Castell,#,#,1628,#,1628,Studium,Student,Collegium Willibaldinum,Eichstätt,1.0,Germany,Collegium Willibaldinum Eichstätt Germany,"48,8904616","11,1856246",#,"Reiter, Marquard II., S. 239-240",,,,,,,,,,,,
28,Marquard Schenk von Castell,#,#,28.05.1621,#,1621,Aufschwörung,Domherr,Domkapitel Eichstätt,Eichstätt,9.0,Germany,Dom Eichstätt Germany,"48,8919581","11,1835667",#,"Reiter, Marquard II., S. 239-240; Braun, Domkapitel Eichstätt, S. 440",,,,,,,,,,,,
29,Marquard Schenk von Castell,#,#,15.01.1636,#,1636,Wahl,Domdekan,Domkapitel Eichstätt,Eichstätt,9.0,Germany,Dom Eichstätt Germany,"48,8919581","11,1835667",#,"Reiter, Marquard II., S. 239-240",,,,,,,,,,,,
30,Marquard Schenk von Castell,#,#,21.10.1636,#,1636,Wahl,Koadjutor,Bistum Eichstätt,Eichstätt,9.0,Germany,Dom Eichstätt Germany,"48,8919581","11,1835667",#,"Rauch, Domkapitel Mainz, S. 175; Reiter, Marquard II., S. 239-240",,,,,,,,,,,,
31,Marquard Schenk von Castell,#,#,25.08.1637,#,1637,Resignation,Domdekan,Domkapitel Eichstätt,Eichstätt,9.0,Germany,Dom Eichstätt Germany,"48,8919581","11,1835667",#,"Braun, Das Domkapitel Eichstätt, S. 441",,,,,,,,,,,,
32,Marquard Schenk von Castell,#,#,10.01.1638,#,1638,Resignation,Domherr,Domkapitel Eichstätt,Eichstätt,9.0,Germany,Dom Eichstätt Germany,"48,8919581","11,1835667",Datum geht aus Weihe zum Bischof hervor; anders als für Resignation des Domdekanats ist für dieses Ereignis kein genaues Datum überliefert; Datum als terminus oder terminus ante quem,"Reiter, Marquard II., S. 239-240",,,,,,,,,,,,
33,Marquard Schenk von Castell,#,#,10.01.1638,#,1638,Weihe,Bischof,Domkapitel Eichstätt,Eichstätt,9.0,Germany,Dom Eichstätt Germany,"48,8919581","11,1835667",#,"Reiter, Marquard II., S. 239-240",,,,,,,,,,,,
34,Marquard Schenk von Castell,#,#,08.02.1685,#,1685,Beisetzung,#,Dom Eichstätt,Eichstätt,9.0,Germany,Dom Eichstätt Germany,"48,8919581","11,1835667",#,"Braun, Das Domkapitel Eichstätt, S. 441",,,,,,,,,,,,
102,Marquard Schenk von Castell,#,#,09.12.1628,#,1628,Aufschwörung,Domherr,Domkapitel Mainz,Mainz,66.0,Germany,Dom Mainz Germany,"49,9990056297492","8,273938609815461",#,"Reiter, Marquard II., S. 239-240; Braun, Das Domkapitel Eichstätt, S. 440",,,,,,,,,,,,
103,Marquard Schenk von Castell,#,#,1675,#,1675,Vergebliche Bewerbung um das Erzbistum,#,Domkapitel Mainz,Mainz,66.0,Germany,Dom Mainz Germany,"49,9990056297492","8,273938609815461",erwähnenswert?,"Reiter, Marquard II., S. 239-240",,,,,,,,,,,,
104,Marquard Schenk von Castell,#,#,06.11.1675,#,1675,Wahl,Domprobst,Domkapitel Mainz,Mainz,66.0,Germany,Dom Mainz Germany,"49,9990056297492","8,273938609815461",#,"Rauch, Domkapitel Mainz, S. 175",,,,,,,,,,,,
105,Marquard Schenk von Castell,#,#,1678,#,1678,Vergebliche Bewerbung um das Erzbistum,#,Domkapitel Mainz,Mainz,66.0,Germany,Dom Mainz Germany,"49,9990056297492","8,273938609815461",erwähnenswert?,"Reiter, Marquard II., S. 239-240",,,,,,,,,,,,
189,Marquard Schenk von Castell,#,#,29.8.1669,#,1669,Bestellung durch Kaiser Leopold I.,Prinzipialkommissar,Immerwährender Reichstag,Regensburg,1.0,Germany,Immerwährender Reichstag Regensburg Germany,"49,0134297","12,1016236",Angabe durch Kaiser Leopold I. lassen oder weg?,"Reiter, Marquard II., S. 239-240",,,,,,,,,,,,
190,Marquard Schenk von Castell,#,#,1617,#,1617,Schulbesuch,#,Jesuitengymnasium Dillingen,Dillingen,1.0,Germany,Jesuitengymnasium Dillingen Dillingen Germany,"48,5790918","10,4940239","Vollständige Angabe bei Specht: Marquardus Schenk a Castell fil[ius] Joannis Eberhardi adm[issus] ad con[victum] et 3. class[em] gramm[aticam], allerdings keine Erwähnung in den Matrikeln 1616 oder 1618","Braun, Das Domkapitel Eichstätt, S. 440; Specht, Die Matrikel der Universität Dillingen, S. 474",,,,,,,,,,,,
197,Marquard Schenk von Castell,#,18.01.1685,#,#,1685,Aufenthalt wegen Krankheit,#,#,Kartause Prül vor den Toren von Regensburg,1.0,Germany,Kartause Prül vor den Toren von Regensburg Germany,"49,0134297","12,1016236","genaues Datum nicht bekannt, Fomulierung in der Literatur als ""in seinen letzten Lebensjahren""","Reiter, Marquard II., S. 239-240",,,,,,,,,,,,
218,Marquard Schenk von Castell,#,#,06.03.1682,#,1682,Belehnung,Kanzler,Erzstift Mainz,Mainz,14.0,Germany,Kurfürstliches Schloss Mainz Germany,"50,0069542","8,2698184","Brauns Quelle ist StaN EU = Staatsarchiv Nürnberg Eichstätter Urkunden; allerdings keine Erwähnung bei May, Die Organisation von Gerichtsbarkeit und Verwaltung in der Erzdiözese Mainz vom hohen Mittelalter bis zum Ende der Reichskirche","Braun, Das Domkapitel Eichstätt, S. 441",,,,,,,,,,,,
236,Marquard Schenk von Castell,#,#,25.01.1636,#,1636,Wahl,Probst,Neues Stift Unsere Liebe Frau,Eichstätt,1.0,Germany,Neues Stift Unsere Liebe Frau Eichstätt Germany,"48,8910779","11,185239","Neuer Stift ULF = Unsere Liebe Frau?; kann er Stiftsprobst bleiben, als er Bischof wird?","Braun, Das Domkapitel Eichstätt, S. 441",,,,,,,,,,,,
243,Marquard Schenk von Castell,1624,#,#,#,1624,Studium,Student,Pontificia Universitas Gregoriana,Rom,1.0,Italy,Pontificia Universitas Gregoriana Rom Italy,"41,8989366","12,4844886","kein genaues Datum bekannt, sondern nur, dass er bald nach Studienbeginn in Ingolstadt an die römische Gregoriana wechselte","Reiter, Marquard II., S. 239-240",,,,,,,,,,,,
248,Marquard Schenk von Castell,#,#,18.01.1685,#,1685,Tod,#,#,Regensburg,2.0,Germany,Regensburg Germany,"49,0134297","12,1016236",#,"Reiter, Marquard II., S. 239-240",,,,,,,,,,,,
255,Marquard Schenk von Castell,#,#,1627,#,1627,Aufenthalt wegen schwankender Gesundheit,#,#,Siena,1.0,Italy,Siena Italy,"43,318809","11,3307574",erwähnenswert?,"Reiter, Marquard II., S. 239-240",,,,,,,,,,,,
286,Marquard Schenk von Castell,#,#,27.07.1627,#,1627,Studium,Student,Universität Siena,Siena,1.0,Italy,Universitas Siena Italy,"43,3191155","11,3328421",#,"Braun, Das Domkapitel Eichstätt, S. 440",,,,,,,,,,,,
291,Marquard Schenk von Castell,#,#,01.10.1624,#,1624,Studium,Student,Universität Ingolstadt,Ingolstadt,1.0,Germany,Universität Ingolstadt Ingolstadt Germany,"48,7655243","11,4162551",#,"Reiter, Marquard II., S. 239-240",,,,,,,,,,,,
